,Title,Average Rating,Director,Writer,Metascore,Cast,Release Date,Country of Origin,Languages,Budget,Worldwide Gross,Runtime
55,Shoah,8.7,Claude Lanzmann,"Simon Srebnik, Michael Podchlebnik, Motke Zaïdl",99.0,"Simon Srebnik, Michael Podchlebnik, Motke Zaïdl, Hanna Zaïdl, Jan Piwonski, Itzhak Dugin, Richard Glazar, Paula Biren, Helena Pietyra, Pan Filipowicz, Pan Falborski, Abraham Bomba, Czeslaw Borowi, Henrik Gawkowski, Rudolf Vrba, Inge Deutschkron, Franz Suchomel, Filip Müller",November 1985 (United States),France,"German, Hebrew, Polish, Yiddish, French, English, Greek, Italian",,"$20,175",9 hours 26 minutes
56,777 Charlie,8.7,Kiranraj K,"Kiranraj K, K.N. Vijay Kumar, Satheesh Muthukulam",,"Rakshit Shetty, Charlie, Sangeetha Sringeri, Raj B. Shetty, Bobby Simha, Danish Sait, Sharvari, Aniruddh Roy, Harini, Siddharth Bhat, Praanya P. Rao, Anirudh Mahesh, Gopalkrishna Deshpande, Abhijit Mahesh, Bengaluru Nagesh, Salman Ahmed, Dhanraj Shivkumar, Vijay Vikram Singh","June 10, 2022 (India)",India,Kannada,,"$7,523,995",2 hours 16 minutes
57,Toma,8.7,"Dragan Bjelogrlic, Zoran Lisinac","Zoran Lisinac, Dragan Bjelogrlic, Nikola Pejakovic",,"Milan Maric, Tamara Dragicevic, Petar Bencina, Andrija Kuzmanovic, Sanja Markovic, Milena Radulovic, Paulina Manov, Milan Kolak, Mirjana Karanovic, Ivan Zekic, Olivera Bacic, Stojsa Oljacic, Nebojsa Ilic, Djordje Stojkovic, Filip Hajdukovic, Marko Janketic, Radomir Nikolic, Sasa Vuckovic","September 15, 2021 (Serbia)",Serbia,"Serbian, German, Romany",,"$3,256,411",2 hours 20 minutes
58,Nayakan,8.7,Mani Ratnam,"Balakumaran, Rajasri, Mani Ratnam",,"Kamal Haasan, Saranya Ponvannan, Delhi Ganesh, Janakaraj, Karthika, Nassar, Tinnu Anand, Nizhalgal Ravi, M.V. Vasudeva Rao, Aditya Modi, Pradeep Shakti","October 21, 1987 (India)",India,Tamil,"₹10,000,000 (estimated)",,2 hours 36 minutes
59,Rocketry: The Nambi Effect,8.7,Madhavan,"Madhavan, Ananth Mahadevan, Rahul Pandey",,"Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra, Misha Ghoshal, Shyam Renganathan, Muralidaran, Karthik Kumar, Sam Mohan, Rajeev Ravindranathan, Dinesh Prabhakar, Mohan Raman, Ron Donachie, Phyllis Logan, Vincent Riotta, Bijou Thaangjam, Jagan, Amaan","July 1, 2022 (India)",India,"Hindi, Tamil, English, French","₹600,000,000 (estimated)","$398,615",2 hours 37 minutes
60,Daman,8.7,"Lenka Debiprasad, Vishal Mourya","Lenka Debiprasad, Vishal Mourya",,"Karan Kandhapan, Babushan Mohanty, Dipanwit Dashmohapatra, Manaswani Takri, Sriharsa Purohit, Ashok Tripathy, Karan Kadam, Damaru, Abhay Behera, Prasanna Kumar, Devika Priyadarshini, Sudam Bisoi, Deepak, Sameer Mohapatra, Bijay Kumar Patra, Mirmay Sarkar, Jitendra Mohan Sahu, Swati Sathpathy","November 4, 2022 (India)",India,"Oriya, Hindi","₹25,000,000 (estimated)",,2 hours 1 minute
61,Manichitrathazhu,8.7,Fazil,Madhu Muttam,,"Mohanlal, Shobana, Suresh Gopi, Vinaya Prasad, Nedumudi Venu, Innocent Vareed Thekkethala, K.P.A.C. Lalitha, Sudheesh, Thilakan, Ganesh Kumar, Rudra, Kuthiravattam Pappu, Sridhar, Bhagyalakshmi, Durga Sundararajan, Fazil","December 24, 1993 (India)",India,Malayalam,,"$82,307",2 hours 49 minutes
62,Peranbu,8.7,Ram,Ram,,"Mammootty, Sadhana, Anjali, Anjali Ameer, Samuthirakani, Pavel Navageethan, Livingston, Vadivukkarasi, Aruldoss, Shanmugarajan, Abbas, Gr Adithya, Anand, Anees, Lizzie Antony, Archana, Arianna, Arumugam","February 1, 2019 (India)",India,Tamil,"₹70,000,000 (estimated)","$3,417",2 hours 27 minutes
63,Saban Oglu Saban,8.7,Ertem Egilmez,Sadik Sendil,,"Kemal Sunal, Halit Akçatepe, Sener Sen, Adile Nasit, Aysen Gruda, Sevket Altug, Sevda Aktolga, Sevil Üstekin, Güler Ökten, Sitki Akçatepe, Ayben Erman, Dinçer Çekmez, Ihsan Yüce, Ergin Orbey, Necdet Yakin, Dündar Aydinli, Talat Dumanli, Aslan Gul","December 1, 1977 (Turkey)",Turkey,Turkish,,,1 hour 30 minutes
64,Ko to Tamo Peva?,8.7,Slobodan Sijan,Dusan Kovacevic,,"Pavle Vuisic, Dragan Nikolic, Danilo 'Bata' Stojkovic, Aleksandar Bercek, Neda Arneric, Milivoje 'Mica' Tomic, Tasko Nacic, Boro Stjepanovic, Slavko Stimac, Miodrag Kostic, Nenad Kostic, Bora Todorovic, Slobodan Aligrudic, Petar Lupa, Stanojlo Milinkovic, Ljubomir Cipranic, Djenadija Rogic, Milovan Tasic","June 30, 1980 (Yugoslavia)",Yugoslavia,Serbo-Croatian,,,1 hour 26 minutes
65,Pariyerum Perumal,8.7,Mari Selvaraj,Mari Selvaraj,,"Kathir, Anandhi, Yogi Babu, Lijeesh, Hari Krishnan, Shanmugarajan, G. Marimuthu, 'Poo' Ram, Karate Venkatesan, Anthony Dasan, Lizzie Antony, Lingesh, Hossein Rahmani Manesh, Porkodi, Garry Sahota","September 28, 2018 (India)",India,Tamil,,,2 hours 34 minutes
66,Thevar Magan,8.7,Bharathan,Kamal Haasan,,"Kamal Haasan, Shivaji Ganesan, Nassar, Revathi, Gautami, Vadivelu, Thalaivasal Vijay, Madhan Bob, S.N. Lakshmi, Sangili Murugan, Kalapart Natarajan, Kaka Radhakrishnan, Neelima Rani, Renuka","October 25, 1992 (India)",India,Tamil,,,2 hours 25 minutes
67,Kimetsu No Yaiba: Natagumo Yama Hen,8.7,Haruo Sotozaki,Koyoharu Gotouge,,,"October 17, 2020 (Japan)",Japan,Japanese,,"$301,723",2 hours 18 minutes
68,Devasuram,8.7,I.V. Sasi,Ranjith,,"Mohanlal, Napolean, Revathi, Innocent Vareed Thekkethala, Nedumudi Venu, Maniyanpilla Raju, V.K. Sriraman, Ramu, Augustine, Cochin Hanifa, Janardanan, Chitra, Seeta, Bharathi, Delhi Ganesh, Sankaradi, Oduvil Unnikrishnan, Bheeman Raghu","April 14, 1993 (India)",India,Malayalam,,,3 hours 7 minutes
69,Kibar Feyzo,8.7,Atif Yilmaz,"Osman Sahin, Ihsan Yüce",,"Kemal Sunal, Müjde Ar, Adile Nasit, Sener Sen, Erdal Özyagcilar, Ilyas Salman, Ihsan Yüce, Resit Çildam, Bahri Ates, Abdullah Ferah, Selim Acar, Arap Celal, Sevtap Erdemli, Sabahat Izgü, Hüseyin Kasif, Yilmaz Kurt, Tuncer Sevi, Güzin Özyagcilar",November 1978 (Turkey),Turkey,Turkish,,,1 hour 23 minutes
70,Zügürt Aga,8.7,Nesli Çölgeçen,Yavuz Turgul,,"Sener Sen, Erdal Özyagcilar, Nilgün Nazli, Füsun Demirel, Atilla Yigit, Bahri Selin, Can Kolukisa, Celal Perk, Filiz Küçüktepe, Mehmet Akdil, Ali Osman Okumus, Ayla Arslancan, Kemal Inci, Sabah Aysavki, Salih Kalyon, Müsfik Kenter, Tilbe Saran, Zerrin Sümer","June 25, 2021 (Turkey)",Turkey,Turkish,,,1 hour 41 minutes
71,Neseli Günler,8.7,Orhan Aksoy,Sadik Sendil,,"Münir Özkul, Adile Nasit, Sener Sen, Aysen Gruda, Oya Aydogan, Ahmet Sezerel, Ihsan Yüce, Mürüvvet Sim, Selim Nasit Özcan, Ali Sururi, Dogu Erkan, Ahmet Ariman, Feridun Savli, Ekrem Dümer, Cevdet Arikan, Gökhan Mete, Gülsen Gürsoy, Yaman Coskun","April 1, 1978 (Turkey)",Turkey,Turkish,,,1 hour 35 minutes
72,Hababam Sinifi: Uyaniyor,8.7,Ertem Egilmez,"Sadik Sendil, Rifat Ilgaz",,"Münir Özkul, Kemal Sunal, Halit Akçatepe, Adile Nasit, Sevket Altug, Sener Sen, Ahmet Sezerel, Muharrem Gürses, Ali Çamlica, Tayfun Akalin, Tuncay Akça, Sitki Akçatepe, Ahmet Ariman, Ertugrul Bilda, Ihsan Bilsev, Talat Dumanli, Cem Gürdap, Bülent Igdiroglu",1976 (Turkey),Turkey,Turkish,,,1 hour 34 minutes
73,Oru Vadakkan Veeragatha,8.7,T. Hariharan,M.T. Vasudevan Nair,,"Mammootty, Madhavi, Devan, Suresh Gopi, Balan K. Nair, Oduvil Unnikrishnan, Ramu, Tony, Soorya, Chitra, Sukumari, Captain Raju, V.K. Sriraman, Geetha, Kumari Joemol, Bheeman Raghu, Johny, Vineeth Kumar","April 14, 1989 (India)",India,Malayalam,"₹9,800,000 (estimated)",,2 hours 48 minutes
74,Se7en,8.6,David Fincher,Andrew Kevin Walker,65.0,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker, Daniel Zacapa, Gwyneth Paltrow, John Cassini, Bob Mack, Peter Crombie, Reg E. Cathey, R. Lee Ermey, George Christy, Endre Hules, Hawthorne James, William Davidson, Bob Collins, Jimmy Dale Hartsell, Richard Roundtree","September 22, 1995 (India)",United States,English,"$33,000,000 (estimated)","$327,333,559",2 hours 7 minutes
75,The Silence of the Lambs,8.6,Jonathan Demme,"Thomas Harris, Ted Tally",86.0,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald, Brooke Smith, Diane Baker, Kasi Lemmons, Charles Napier, Tracey Walter, Roger Corman, Ron Vawter, Danny Darst, Jeffrie Lane, Frankie Faison, Paul Lazar, Dan Butler, Chris Isaak","February 14, 1991 (United States)",United States,"English, Latin","$19,000,000 (estimated)","$272,742,922",1 hour 58 minutes
76,It's a Wonderful Life,8.6,Frank Capra,"Frances Goodrich, Albert Hackett, Frank Capra",89.0,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi, Frank Faylen, Ward Bond, Gloria Grahame, H.B. Warner, Frank Albertson, Todd Karns, Samuel S. Hinds, Mary Treen, Virginia Patton, Charles Williams, Sarah Edwards, William Edmunds","January 7, 1947 (United States)",United States,"English, French","$3,180,000 (estimated)","$9,767,242",2 hours 10 minutes
77,Spider-man: Across the Spider-verse,8.6,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Phil Lord, Christopher Miller, Dave Callaham",86.0,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Jake Johnson, Oscar Isaac, Jason Schwartzman, Issa Rae, Daniel Kaluuya, Karan Soni, Shea Whigham, Greta Lee, Mahershala Ali, Amandla Stenberg, Jharrel Jerome, Andy Samberg, Jack Quaid, Rachel Dratch","June 1, 2023 (India)",United States,English,"$150,000,000 (estimated)","$690,824,738",2 hours 20 minutes
78,Saving Private Ryan,8.6,Steven Spielberg,Robert Rodat,91.0,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi, Jeremy Davies, Ted Danson, Paul Giamatti, Dennis Farina, Joerg Stadler, Max Martini, Dylan Bruno, Daniel Cerqueira, Demetri Goritsas, Ian Porter","March 26, 1999 (India)",United States,"English, French, German, Czech","$70,000,000 (estimated)","$482,351,251",2 hours 49 minutes
79,The Green Mile,8.6,Frank Darabont,"Stephen King, Frank Darabont",61.0,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, James Cromwell, Michael Jeter, Graham Greene, Doug Hutchison, Sam Rockwell, Barry Pepper, Jeffrey DeMunn, Patricia Clarkson, Harry Dean Stanton, Dabbs Greer, Eve Brent, William Sadler, Mack Miles, Rai Tasco","March 16, 2000 (India)",United States,"English, French","$60,000,000 (estimated)","$286,801,374",3 hours 9 minutes
80,City of God,8.6,"Fernando Meirelles, Kátia Lund","Bráulio Mantovani, Paulo Lins",79.0,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Seu Jorge, Jefechander Suplino, Alice Braga, Emerson Gomes, Edson Oliveira, Michel Gomes, Roberta Rodrigues, Luis Otávio, Kiko Marques, Gustavo Engrácia, Darlan Cunha, Robson Rocha","January 18, 2007 (India)","Brazil, France",Portuguese,"R$3,300,000 (estimated)","$30,680,793",2 hours 10 minutes
81,Terminator 2: Judgment Day,8.6,James Cameron,"James Cameron, William Wisher",75.0,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen, Joe Morton, S. Epatha Merkerson, Castulo Guerra, Danny Cooksey, Jenette Goldstein, Xander Berkeley, Leslie Hamilton Gearren, Ken Gibbel, Robert Winley, Pete Schrum, Shane Wilder, Michael Edwards, Jared Lounsbery","August 24, 1991 (India)","United States, France","English, Spanish","$102,000,000 (estimated)","$517,778,573",2 hours 17 minutes
82,Star Wars: Episode IV - A New Hope,8.6,George Lucas,George Lucas,90.0,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Peter Cushing, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, Phil Brown, Shelagh Fraser, Jack Purvis, Alex McCrindle, Eddie Byrne, Drewe Henley, Denis Lawson, Garrick Hagon, Jack Klaff","July 1, 1978 (India)",United States,English,"$11,000,000 (estimated)","$775,398,507",2 hours 1 minute
83,Spirited Away,8.6,Hayao Miyazaki,Hayao Miyazaki,96.0,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi, Mari Natsuki, Takashi Naitô, Yasuko Sawaguchi, Tatsuya Gashûin, Ryunosuke Kamiki, Yumi Tamai, Yô Ôizumi, Koba Hayashi, Tsunehiko Kamijô, Takehiko Ono, Bunta Sugawara, Shigeru Wakita, Shirô Saitô, Michiko Yamamoto","March 1, 2020 (India)","Japan, United States",Japanese,"$19,000,000 (estimated)","$358,110,581",2 hours 4 minutes
84,Life Is Beautiful,8.6,Roberto Benigni,"Vincenzo Cerami, Roberto Benigni",58.0,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric, Marisa Paredes, Horst Buchholz, Lidia Alfonsi, Giuliana Lojodice, Amerigo Fontani, Pietro De Silva, Francesco Guzzo, Raffaella Lebboroni, Claudio Alfonsi, Gil Baroni, Massimo Bianchi, Jürgen Bohn, Verena Buratti","September 18, 2000 (India)",Italy,"Italian, German, English","$20,000,000 (estimated)","$230,099,013",1 hour 56 minutes
85,Shichinin No Samurai,8.6,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",98.0,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara, Daisuke Katô, Isao Kimura, Minoru Chiaki, Seiji Miyaguchi, Yoshio Kosugi, Bokuzen Hidari, Yoshio Inaba, Yoshio Tsuchiya, Kokuten Kôdô, Eijirô Tôno, Kichijirô Ueda, Jun Tatara, Atsushi Watanabe","April 26, 1954 (Japan)",Japan,Japanese,"¥125,000,000 (estimated)","$1,063,061",3 hours 27 minutes
86,Seppuku,8.6,Masaki Kobayashi,"Yasuhiko Takiguchi, Shinobu Hashimoto",85.0,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba, Masao Mishima, Ichirô Nakatani, Kei Satô, Yoshio Inaba, Hisashi Igawa, Tôru Takeuchi, Yoshirô Aoki, Tatsuo Matsumura, Akiji Kobayashi, Kôichi Hayashi, Ryûtarô Gomi, Jô Azumi, Nakajirô Tomita, Shichisaburô Amatsu","September 16, 1962 (Japan)",Japan,Japanese,,"$15,222",2 hours 13 minutes
87,The Kashmir Files,8.6,Vivek Agnihotri,"Vivek Agnihotri, Saurabh M. Pandey",,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi, Chinmay Mandlekar, Prakash Belawadi, Puneet Issar, Bhasha Sumbli, Sourav Verma, Mrinal Kulkarni, Atul Srivastava, Amaan Iqbal, Meenakshi Chugh, Navneet Gairola, Fasi Khan, Atul Vishnoi","March 11, 2022 (India)",India,Hindi,"₹200,000,000 (estimated)","$24,821,898",2 hours 50 minutes
88,Earthlings,8.6,Shaun Monson,Shaun Monson,,Joaquin Phoenix,"September 24, 2005 (United States)",United States,English,,,1 hour 35 minutes
89,A Dog's Will,8.6,Guel Arraes,"Guel Arraes, Adriana Falcão, João Falcão",,"Matheus Nachtergaele, Selton Mello, Rogério Cardoso, Denise Fraga, Diogo Vilela, Luís Melo, Virginia Cavendish, Bruno Garcia, Enrique Diaz, Maurício Gonçalves, Aramis Trindade, Marco Nanini, Paulo Goulart, Lima Duarte, Fernanda Montenegro","September 10, 2000 (Brazil)",Brazil,"Portuguese, Latin",,"$6,281,890",1 hour 44 minutes
90,Kaiva,8.6,Jayathirtha,"Jayathirtha, Raghu Niduvalli",,"Dharmendra Aras, Agratha Ashok, Anand Babu, Nagaratna Bhat, Dhanveerrah, Geetha, B M Giriraj, Nanda Gopal, Ashwin Hassan, Mahantesh Hiremath, Ramesh Indira, Shivaji Rao Jadhav, Jagadish, J. Karthik, Jayaram Karthik, Mahathi Vijay Kumar, Bhavya M.G., Chikkahejjaji Mahadev","December 8, 2023 (India)",India,Kannada,,,2 hours 18 minutes
91,The Legend of Maula Jatt,8.6,Bilal Lashari,"Bilal Lashari, Nasir Adib",,"Fawad Khan, Mahira Khan, Hamza Ali Abbasi, Humaima Malik, Ali Raza, Ahsan Khan, Babar Ali, Shafqat Cheema, Nayyar Ejaz, Resham, Gohar Rasheed, Ukasha Gul, Faris Shafi, Ali Azmat, Zia Khan, Aftab Haider, Saima Baloch, Raheela Agha","October 2, 2024 (India)",Pakistan,"Punjabi, Urdu, English","PKR 700,000,000 (estimated)","$13,941,539",2 hours 33 minutes
92,Pretty village pretty flame,8.6,Srdjan Dragojevic,"Vanja Bulic, Srdjan Dragojevic, Biljana Maksic",,"Dragan Bjelogrlic, Nikola Kojo, Dragan Maksimovic, Zoran Cvijanovic, Milorad Mandic-Manda, Dragan Petrovic-Pele, Lisa Moncure, Nikola Pejakovic, Velimir 'Bata' Zivojinovic, Petar Bozovic, Marko Kovijanic, Dragan Zaric, Admir Sehovic, Milos Djuricic, Vera Dedovic, Branka Katic, Milena Pavlovic, Branko Vidakovic","November 6, 1997 (Australia)",Federal Republic of Yugoslavia,"Bosnian, Serbian, English",,$211,1 hour 55 minutes
93,Anbe Sivam,8.6,Sundar C.,"Kamal Haasan, Madan, Mohan Nair",,"Kamal Haasan, Madhavan, Kiran Rathod, Nassar, Santhana Bharathi, Uma Riyaz Khan, Yugi Sethu, Ilavarasu, Balu Anand, Seema, R.S. Shivaji, Laxmi Rattan, Chelladurai, Hillaary, Jacob, Madhaiyyan, Jaya Murali, Muthukalai","January 14, 2003 (India)",India,Tamil,,,2 hours 40 minutes
94,Lajanje na zvezde,8.6,Zdravko Sotra,"Zdravko Sotra, Milovan Vitezovic",,"Dragan Micanovic, Natasa Tapuskovic, Nikola Simic, Velimir 'Bata' Zivojinovic, Aleksandar Bercek, Bogdan Diklic, Dragan Jovanovic, Nikola Djuricko, Isidora Minic, Branimir Brstina, Vesna Trivalic, Maja Sabljic, Dragomir Cumic, Albena Stavreva, Nenad Jezdic, Nebojsa Ilic, Igor Pervic, Petar Cirica","June 1, 1998 (Federal Republic of Yugoslavia)",Federal Republic of Yugoslavia,Serbian,,,1 hour 35 minutes
95,Pink Floyd: Live at Pompeii,8.6,Adrian Maben,"David Gilmour, Roger Waters, Richard Wright",,"David Gilmour, Roger Waters, Richard Wright, Nick Mason, Pink Floyd","October 25, 1972 (France)","Belgium, West Germany, France, United Kingdom",English,,,1 hour 32 minutes
96,Thoovanathumbikal,8.6,P. Padmarajan,P. Padmarajan,,"Mohanlal, Sumalatha, Parvathi, Ashokan, Babu Namboothiri, Sreenath, Sukumari, Jagathy Sreekumar, Sankaradi, M.G. Soman, Poojappura Radhakrishnan, Santhakumari, Sulakshana, Jayalalitha, Alex Mathew, Anandavally","July 31, 1987 (India)",India,Malayalam,,,2 hours 31 minutes
97,Spadikam,8.6,Bhadran,"Raajendra Babu, Bhadran",,"Mohanlal, Thilakan, Urvashi, Sphadikam George, K.P.A.C. Lalitha, Rajan P. Dev, Silk Smitha, Nedumudi Venu, Chippy, V.K. Sriraman, Kollam Ajith, Arya Anup, Ashokan, Bahadur, N.L. Balakrishnan, Bhagyalakshmi, Paravoor Bharathan, Indrans","March 30, 1995 (India)",India,Malayalam,,"$62,313",2 hours 30 minutes
98,Human,8.6,Yann Arthus-Bertrand,"Luis Cancu, Atman, Berthony",,"Luis Cancu, Atman, Berthony, Bruno, Frezno, Ian, Estima Joseph, Leonard, Maria, Pepe Mujica, Don Mullan, Qusai, Sophie, Tjimuremo, Yevgeny","September 12, 2015 (France)",France,"English, French, Arabic, Spanish, Portuguese, Italian, Chinese, Russian, Greek, Hebrew, Sign Languages",,"$80,410",4 hours 23 minutes
99,Canim Kardesim,8.6,Ertem Egilmez,Sadik Sendil,,"Tarik Akan, Halit Akçatepe, Kahraman Kiral, Metin Akpinar, Adile Nasit, Necdet Yakin, Sitki Akçatepe, Kemal Sunal, Bahri Ates, Renan Fosforoglu, Ahmet Kostarika, Kamer Sadik, Ali Osman Yuksel, Ihsan Yüce","March 1, 1973 (Turkey)",Turkey,Turkish,,,1 hour 26 minutes
100,A tanú,8.6,Péter Bacsó,"Péter Bacsó, János Ujhelyi",,"Ferenc Kállai, Lajos Öze, Zoltán Fábri, Béla Both, Georgette Mertzhradt, Róbert Rátonyi, Károly Bicskey, Lili Monori, László Vámos, Ida Versényi, György Bálint, Pál Bánó, Tibor Fehér, József Iványi, Pál Jákó, György Kézdy, Péter Korbuly, Lajos Mezey","June 6, 1979 (Hungary)",Hungary,Hungarian,,,1 hour 45 minutes
101,Hababam Sinifi: Tatilde,8.6,Ertem Egilmez,"Sadik Sendil, Rifat Ilgaz",,"Münir Özkul, Kemal Sunal, Adile Nasit, Sener Sen, Aysen Gruda, Sevda Aktolga, Tayfun Akalin, Sitki Akçatepe, Ahmet Ariman, Ertugrul Bilda, Filiz Bozkurt, Talat Dumanli, Sevtap Erdemli, Cem Gürdap, Muharrem Gürses, Ali Ince, Hayri Karabey, Hakki Karadayi","February 26, 1978 (Turkey)",Turkey,Turkish,,,1 hour 37 minutes
102,Chithram,8.6,Priyadarshan,"Priyadarshan, Sreenivasan",,"Mohanlal, Nedumudi Venu, Renjini, Poornam Vishwanathan, Sreenivasan, M.G. Soman, Thikkurissy Sukumaran Nair, Maniyanpilla Raju, Sukumari, Innocent Vareed Thekkethala, Lizy, Ganesh Kumar, Shanawas, Jagadish, Bhagyalakshmi, Bobby Kottarakkara, Unni Mary","December 23, 1988 (India)",India,Malayalam,,,2 hours 39 minutes
103,Poove Unakkaga,8.6,Vikraman,Vikraman,,"Joseph Vijay, Sangeetha, Anju Aravind, Madhan Bob, Charlie, Jai Ganesh, Hemalatha, Sheela Kaur, Murali, Meesai Murugesan, Nagesh, M.N. Nambiar, Varalakshmi P.R., R.S. Shivaji, Singamuthu, Sukumari, Malaysia Vasudevan, C.R. Vijayakumari","February 15, 1996 (India)",India,Tamil,,,2 hours 30 minutes
104,Gladiator,8.5,Ridley Scott,"David Franzoni, John Logan, William Nicholson",67.0,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Tomas Arana, Ralf Moeller, Spencer Treat Clark, David Hemmings, Tommy Flanagan, Sven-Ole Thorsen, Omid Djalili, Nicholas McGaughey, Chris Kell","September 1, 2000 (India)","United States, United Kingdom, Malta, Morocco",English,"$103,000,000 (estimated)","$465,516,248",2 hours 35 minutes
105,Dune: Part Two,8.5,Denis Villeneuve,"Denis Villeneuve, Jon Spaihts, Frank Herbert",79.0,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin, Austin Butler, Florence Pugh, Dave Bautista, Christopher Walken, Léa Seydoux, Stellan Skarsgård, Charlotte Rampling, Souheila Yacoub, Roger Yuan, Babs Olusanmokun, Alison Halstead, Giusi Merli, Kait Tenison","March 1, 2024 (India)","United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia",English,"$190,000,000 (estimated)","$714,444,358",2 hours 46 minutes
106,Alien,8.5,Ridley Scott,"Dan O'Bannon, Ronald Shusett",89.0,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright, Harry Dean Stanton, Ian Holm, Yaphet Kotto, Bolaji Badejo, Helen Horton, Eddie Powell","December 6, 1979 (India)","United Kingdom, United States",English,"$11,000,000 (estimated)","$108,610,218",1 hour 57 minutes
107,Amaran,8.5,Rajkumar Periasamy,Rajkumar Periasamy,,"Sivakarthikeyan, Sai Pallavi, Bhuvan Arora, Rahul Bose, Lallu, Shreekumar, Umair Lateef, Mir Salman, Geetha Kailasam, Shyamaprasad, Shyam Mohan, Anbu Thasan, Ajaey Naga Raaman, Gaurav Venkatesh, Abhinav Raj, Paul T Baby, Sugamya Shankar, Rohan Surya Kanuma Reddy","October 31, 2024 (India)",India,Tamil,,"$1,717,804",2 hours 47 minutes
